,item,rate,num_rate,num_sold,price
1287,免燙防皺長袖襯衫 男韓版修身休閒純色襯衫 男上班襯衫 長袖襯衫 素面襯衫 商務襯衫 抗皺不掉色,4.7,101,448,$109.00
1288,蝦皮優選【現貨】ins超火廠家直賣 長袖shirt 長袖襯衫 休閒襯衫 男生襯衫 日系襯衣 男新款長袖襯衫 韓版休閒男上衣外套,4.9,7,10,$299.00
1289,《全新正品》🔥真的超帥超好看🔥AF男長亨利領T,5,17,25,$580.00
1290,《全新正品》🔥AF極舒適針織質料🔥AF男長T,5,15,22,$350 - $520
1291,CPMAX 純色標語連帽長Tee 就是你了全村的希望 Tee 男長T 連帽T 長袖T 長袖上衣 連帽上衣 素色【T66】,4.7,18,34,$189.00
1292,【大盤大】(C53636) 男 涼感排汗衣 長袖POLO衫 台灣製 橫條紋 透氣 速乾 口袋 戶外 機能【2XL號斷貨】,5,4,6,$400.00
1293,七分袖短袖tshirt潮男潮牌男t恤寬松打底衫夏季圓領韓版潮寬鬆男生短袖超大呎碼中袖男生長袖圓領黑色白色深藍色純棉,4.3,30,102,$399.00
1294,蝦皮優選╭☆優格☆╯【紳士風範】商務.業務.上班族.必備標準款【素面-2019 蘋果綠色~長袖男襯衫】16吋~17.5吋*,5,2,5,$280.00
1295,【大盤大】(P91636) 男 全新 圖案POLO衫 口袋 棉衫 長袖上衣 台灣製 M-XXL號 父親節禮物 有加大尺碼,5,9,17,$400.00
1296,【大盤大】(C03636) 男 現貨 吸濕排汗衫 透氣 涼感 長袖POLO衫 速乾 降溫 口袋棉衫 排汗衣 條紋 台灣製,5,12,16,$400.00
1297,【大盤大】(P51636) 男 全新 格子POLO衫 經典格紋 條紋 口袋棉衫 台灣製 MIT 父親節禮物 有加大尺碼,4.6,5,7,$400.00
1298,男生外套 2019新款格子外套 韓版休閒長袖外套男 秋季防風外套 機車外套 秋季呢料外套 夾克男毛呢翻領外套 男生夾克,4.9,130,331,$429.00
1299,[現貨]男 長袖T恤 抗UV 長袖連帽T 安步威 速乾 薄款 春季 秋季,5,3,4,$350.00
1300,❤️現貨實拍❤️當天發貨超低價2018秋季新款男士大碼長袖條紋T恤男韓版時尚潮流修身個性青少年休閒上衣打底衫純棉長袖T恤,4.3,102,301,$77.00
