,item,rate,num_rate,num_sold,price
81,CPMAX 格紋休閒短褲 格紋五分褲 舒適百搭 抽繩短褲 男五分褲 格紋短褲 薄款短褲 五分褲 素色短褲 男短褲 K44,4.8,93,219,$259.00
82,新品現貨  時尚男童褲子  夏裝 2020 新品中大童褲子  韓版ins學生短褲  休閒男純棉運動褲,5,5,44,$57.00
83,現貨 Air Jordan AJ飛人喬登 短褲 五分褲 男跑步健身褲 運動褲 籃球褲 舒適透氣柔順耐磨排汗吸濕彈力鬆緊褲,4.8,60,107,$225.00
84,夏未促銷Under Armour 安德瑪 UA五分褲 短褲 運動休閒短褲 男 Ua 速乾褲 慢跑訓練短褲 男士大尺碼短褲,4.9,63,167,$199.00
85,🔥全商城最低價🔥Champion 美規 電繡小Logo C85653 運動 棉褲 透氣棉 短褲 冠軍褲 休閒 男,4.9,114,363,$320.00
86,耐吉 NIKE DRI-FIT DNA 男 籃球 運動 訓練 速幹 透氣 短褲 籃球短褲 運動短褲,4.8,138,328,$298.00
87,特價下殺🔥🔥The North Face 北面夏季新品 男生工裝短褲 戶外訓練男短褲 時尚男生,4.9,25,65,$188.00
88,CPMAX 歐美潮牌拼接運動短褲 休閒短褲 高純棉短褲 五分褲 男運動短褲 運動褲 潮牌短褲 五分棉短褲 K57,4.8,55,134,$269.00
89,蝦皮優選【限時特賣】M-8XL休閒短褲 男生短褲 大尺碼短褲 五分短褲男 夏季個性日系短褲  潮牌夏沙灘褲 運動短褲 現貨,5,39,127,$189.00
90,Adidas 短褲 三葉草男生短褲五分褲運動褲時尚潮流韓版短褲男青少年學生運動短褲純棉舒適寬鬆百搭修身 運動短褲 多款選,5,2,43,$8 - $400
91,蝦皮優選【Tom-m】現貨! DICKIES 小logo 新款 棉質 短褲 韓國限定 四色 深灰 淺灰 黑 深藍 男 韓國公司貨,5,318,663,$680.00
92,現貨+賠錢出清價賣完為止+ (28~36腰)  七分短褲 前有口袋拉鍊設計 男士休閒運動短褲 男短褲 運動短褲,4.7,77,375,$80.00
93,Under Armour UA 安德瑪 男 短褲 運動短褲 兩側拉鏈口袋 速乾褲休閒短褲 海灘褲 五分短褲 加大大尺碼,4.9,71,143,$215.00
94,Champion Logo短棉褲 美版 冠軍 男短褲 運動褲  冠軍棉褲 男生 短褲  United Freak,4.8,630,"1,439",$299 - $380
95,19夏季純色基礎百搭時尚休閒褲舒適男士沙灘褲男士短褲運動短褲男,4.8,18,74,$100.00
96,【三套750】愛迪達短套 Adidas 三葉草運動套裝 Adidas短袖 愛迪達短袖 短袖T恤 男短袖 套裝 短褲,4.6,17,64,$299.00
97,CPMAX 男短褲 七分褲 運動褲 哈倫褲 小腳褲 運動短褲 休閒褲 多口袋短褲 寬版七分褲 休閒七分褲【P06】,4.7,"1,151","2,545",$158.00
98,【UNDER ARMOUR】男 SC30短褲(1329426-001),5,21,44,"$1,280.00"
99,夏季薄款破洞牛仔短褲男五分褲彈力夏天5分中褲馬褲子男韓版潮流,4.9,18,62,$142 - $150
100,🏄‍♀️ROXY情侶裝海灘褲QUIKSILVER男寬鬆速乾衝浪短褲運動五分褲女低腰鬆緊短褲男女休閑度假短褲情侶套裝,4.9,62,177,$291 - $436
101,現貨 Air Jordan AJ 飛人喬登 短褲 五分褲 男 運動褲 籃球褲 跑步 健身 訓練 排汗吸濕 速乾褲 鬆緊褲,4.9,102,205,$230.00
102,Nike 耐吉 2019夏季薄款跑步三分褲大碼健身訓練馬拉松短褲速乾透氣運動短褲男 男生短褲 情侶款,4.9,76,149,$299.00
103,五色可選 2020新款 夏季運動套裝 男跑步健身房速乾T卹 休閒短袖短褲套裝 圓領印花套裝 情侶套裝,4.7,54,143,$199.00
