,item,rate,num_rate,num_sold,price
77,蝦皮優選美背內搭小可愛吊帶背心 內衣女 帶胸墊無鋼圈 無痕螺紋 蕾絲花邊 聚攏性感 文胸 學生透氣 運動背心 裹胸抹胸,4.9,14,130,$53.00
78,[新品搶先] 背心 無袖背心 韓版復古交叉設計針織小吊帶氣質百搭抹胸背心內搭上衣女,4.8,41,132,$75.00
79,修身時尚 背心 運動背心 健身跑步短款露臍反光背心女純棉修身性感打底上衣 女生背心 無袖背心,4.9,125,334,$95.00
80,【現貨】Movingpeach 運動內衣美背瑜伽吊帶背心女聚攏防震跑步健身bra速幹背心式運動上衣 HBL,4.9,277,672,$325.00
81,蝦皮優選老闆不賣了!小飛袖 夏季無袖吊帶背心 針織上衣 方領單排釦 性感打底外穿背心 木耳邊荷葉邊 女 無袖背心 上衣-杜達女孩,4.9,356,945,$125.00
82,21652  夏款V領針織吊帶背心純色打底衫女,4.9,"1,525","4,100",$79.00
83,蝦皮優選【優質現貨】5色可選 正韓套裝 春夏季三件式套裝潮 網紅白色運動外套女+背心+短褲 港味三件套 休閒居家服,4.9,16,72,$295.00
84,【現貨】Movingpeach運動內衣細肩帶可調節美背吊帶聚攏防震定型瑜伽內衣女肩帶背心聚攏跑步外穿吊帶內衣 IBK,4.9,914,"2,348",$312.00
85,運動背心健身寬鬆低領背心女速幹後背開叉小罩衫運動背心瑜伽背心正韓上衣寬鬆背心無袖背心運動罩衫 VD,4.9,449,996,$204.00
86,冰絲無袖睡衣女 夏季加大仿真絲綢背心兩件式套裝 韓國絲質可愛卡通米奇涼感家居服M-3XL,4.8,27,65,$199.00
87,免運新款現貨調整型內衣集中深V爆乳內衣 無鋼圈背心文胸 聚攏調整型水溶蕾絲冰絲性感內衣 女收副乳豐滿調整型內衣背心款文胸,4.9,13,81,$30 - $99
88,現貨 馬甲 套裝 港風女原宿復古寬鬆BF風無袖馬甲背心+短袖t恤上衣帥氣工裝上衣ins潮兩件式套裝,4.8,34,110,$141 - $231
89,🌱Comeandbuy🙋小可愛背心 吊帶 背心 油畫少女吊帶女士裹抹胸背心打底 獨立盒裝帶胸墊可拆卸美背 女內衣,4.3,12,58,$65.00
90,女生無袖洋裝 細肩帶 洋裝 連身裙 吊帶裙 背心裙 簡約百搭 休閒洋裝 無袖連身裙 韓版吊帶背心純黑色魚尾裙中長款裙子女,4.9,64,134,$183.00
91,Movingpeach 運動背心性感美背露背瑜伽背心女寬鬆罩衫跑步罩衫透氣無袖瑜伽t恤健身服上衣正韓背心 EVV,5,280,611,$265.00
92,蝦皮優選老闆不賣了!回饋價>鏤空針織吊帶背心 比基尼罩衫 露肚 針織罩衫 V領短版罩衫 吊帶背心 無袖上衣 度假海邊女-杜達女孩,4.9,398,"1,159",$99.00
93,背心 露背上衣 大露背 夜店上衣 美背背心 挖背背心 上衣 鏤空上衣 女上衣 無袖背心 韓版chic時尚性感百搭寬松T恤,4.8,252,578,$134.00
94,細肩帶罩杯一體式背心 帶胸墊《免穿內衣》V領無鋼圈 露背性感莫代爾棉胸罩女上衣【LaVie洛薇】T024,4.9,692,"2,039",$119.00
95,現貨 免運 大網紅卡卡U型美背吊帶背心無鋼圈裹胸文胸罩聚攏打底運動內衣女,5,7,42,$55 - $110
96,[2件折30] 吊帶背心 細肩帶背心 韓版ins網紅炫雅風修身顯瘦條紋小吊帶背心女外穿無袖上衣,4.7,175,511,$150.00
97,背心 吊帶背心 女外穿潮蹦迪夏新款ins泫雅風短款純色背心修身無袖上衣 細肩帶背心 無袖背心,4.9,135,372,$95.00
98,蝦皮優選老闆不賣了!春夏新款 名媛V領修身純色針織吊帶背心 百搭背心 背心 蝴蝶結 女 無袖背心 上衣 小可愛-杜達女孩,4.7,254,615,$99.00
99,春夏2020新款韓版防走光裹胸抹胸無鋼圈美背聚攏文胸女全罩杯內衣,4.9,17,54,$75.00
100,現貨熱賣中 2020初春新品 百搭牛仔吊帶褲 丹寧牛仔吊帶褲 減齡顯瘦牛仔吊帶長褲 背心 單寧牛仔 褲子女 牛仔褲,4.8,73,147,$290.00
101,運動內衣女防震跑步 運動健身瑜伽美背背心 高強度防震 一體式固定罩杯 無鋼圈設計 大小胸都適合 穿脫方便 H34,4.9,45,93,$320.00
102,蝦皮優選現貨 無痕美背小可愛裹胸冰絲無痕抹胸短款 韓版新款小背心女百搭性感美背吊帶 韓系抹胸裹胸 打底透氣運動性感裹胸,4.9,146,496,$68.00
103,《賠本出清》涼感背心 涼感衣 MarieBella 涼感輕著女上衣/背心/細肩/條紋款 黑/白 M/L 數量有限,4.6,14,109,$99.00
104,吊帶背心 夏季無袖背心女 韓版學生短款吊帶 修身顯瘦簡約打底衫 女生衣著 百搭可外穿內搭衣 細肩帶背心,4.8,407,"1,212",$50.00
105,【現貨】芬絲情泰國乳膠無痕內衣 女蕾絲運動睡眠文胸一片式無鋼圈泰國乳膠 內衣 安心薄款 運動內衣女防震跑步無鋼圈背心文胸,5,7,139,$108.00
106,【台灣現貨】涼感熱銷款  日本無痕運動文胸背心超薄睡眠防外擴內衣無鋼圈跑步瑜伽防震女,4.7,44,263,$85.00
107,夏季2020新款網紅內搭吊帶背心女帶胸墊抹胸外穿美背露肩性感上衣,4.4,8,40,$59.00
108,超薄運動背心 女跑步 無袖速乾 健身瑜伽運動上衣女 夏季瑜伽健身,4.9,73,158,$208.00
109,【現貨】Movingpeach瑜伽背心美背內衣交叉設計肩帶內衣女帶胸墊聚攏運動外穿內衣無袖健身房吊帶內衣 EVE,4.9,320,735,$331.00
110,【促銷特價】泰國乳膠內衣少女運動背心背扣無鋼圈文胸三排扣聚攏調整型美胸內衣女,5,1,36,$140.00
111,馬甲 背心 牛仔背心 外套 韓版寬鬆男友風馬甲 ins工裝馬甲牛仔外套女春秋外穿港風百搭寬松無袖坎肩初秋馬夾,5,138,411,$251.00
112,【Silly優品】（13色）瑜伽背心女帶胸墊 性感美背運動文胸聚攏健身房吊帶背心,4.9,83,383,$298.00
