,item,rate,num_rate,num_sold,price
76,⚡️Mr.CP⚡現貨 鬼滅之刃吊飾 雙面壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件,4.8,19,125,$13.00
77,【現貨 ！免運費】媽咪包 買一送四🔥大容量媽媽包🔥媽媽包 爸爸包 防水多功能時尚母嬰包孕嬰背包❤️出行必備四季用❤️,4.9,693,"1,454",$115 - $598
78,現貨 大容量 立體造型 兒童玩具卡通背包水槍 洗澡玩具 米奇、米妮、佩佩豬、美國隊長、波力 、蜘蛛人、汪汪隊多款卡通,4.9,387,959,$80 - $195
79,天德牌雨衣 2020 新 R5 兩件式雨衣（上衣加強+側開式背包）隱藏式雨鞋套 天德牌 新R2 進階版 雨衣 《比帽王》,5,414,646,"$1,100.00"
80,【日韓背包】經典款☞☞現貨四色 簡約純色 原宿ulzzang 帆布做舊學生背包 韓版學院風 雙肩後背包 大容量書包,4.9,336,775,$239 - $259
81,蝦皮優選🔥$99免運真正🇹🇼品牌公司附發票【8050】多隔層耐重背包學生書包筆電媽媽包商務雙肩帆布WENJIE,5,"8,046",14000,$199 - $299
82,買三送一 新增繼國兄弟 鬼滅之刃吊飾 鑰匙扣 背包掛件 同人亞克力鑰匙圈 動漫周邊 禰豆子炭次郎富岡義勇善逸無慘伊之助,4.9,32,260,$36.00
83,【台灣現貨秒發】韓版背包│學生書包│緞帶背包│原宿ulzzang│學院背包│ulzzang│後背包│原宿風│帆布包│書包,4.9,277,"2,339",$5 - $199
84,蝦皮優選🔥秒出貨🔥韓版簡約學院風純色帆布雙肩書包 後背包 休閒旅行背包 學生必備 大學生熱愛 畢業旅行首選 雙肩包 手提包,4.8,"1,010","2,267",$190.00
85,免運 天德牌 新R5 上衣加強 側開 背包版 三片式雨褲 兩件式 雨衣 附鞋尖套 R2 背包版 二件式雨衣 側邊加寬版,5,231,444,$198 - $960
86,部分現貨💕芝麻代購 who.a.u 新款後背包 who a u 韓國代購 多功能 夾層多 防潑水 出國旅行 上課必備,5,434,729,"$1,280.00"
87,蝦皮優選【汪喵派對】低價衝評免運中 快速出貨 太空艙寵物背包 寵物外出包 寵物用品 貓狗包 雙肩寵物背包 寵物太空包,4.9,474,879,$399.00
88,買二送一【Melon】現貨 同人鬼滅之刃 雙面亞克力鑰匙扣 背包掛件 炭治郎 禰豆子 我妻善逸 伊之助 義勇 吊飾鑰匙圈,5,51,549,$39.00
89,雙肩包胸前扣帶 背包防滑帶 2.5CM 防脫落背帶 背包扣帶 胸扣 卡扣帶 減壓 通用 77【飛兒】,4.9,223,872,$34.00
90,Adidas 愛迪達 CAP 老帽 腰包 肩包 後背包 胸包 S98151 S98150 FN0890 全新正品 A2,5,528,"1,295","$399 - $1,080"
91,🔥贈送綁帶+背包🔥瑜伽墊 初學者加厚15MM瑜伽墊 運動健身墊子 男士加長加寬瑜珈防滑墊 女士瑜伽墊 10MM瑜伽墊,4.9,219,472,$239 - $378
92,蝦皮優選【E1101】2尺寸 網眼沙灘包運動包 沙灘包 運動包 海灘包,4.9,"1,021","2,932",$35 - $69
93,蝦皮優選【台灣現貨👍最快⚡️今寄明到+9色&40-60L】背包套防雨罩 背包防雨保護套防水套防水罩背包罩防水袋,4.9,212,"1,208",$48 - $68
94,蝦皮優選【SL】台灣出貨 送毛毯墊 超夯喵星人太空艙寵物包 貓狗包 寵物 雙肩寵物背包 寵物外出包 背包 寵物太空包,4.9,569,"1,096",$299 - $439
95,（現貨）小米雙肩包小背包男女通用運動包日常休閒雙肩包學生書包旅行包 10 色 後背包 包包,5,112,462,$135.00
96,現貨 新款卡通動漫鬼滅之刃吊飾 雙面鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,5,39,320,$1 - $12
97,批發 現貨 鬼滅之刃動漫周邊吊飾 Q版 可愛吊飾 夏日系列 炭治郎 彌豆子 吊飾鑰匙圈 透明挂件亞克力鑰匙扣背包掛件禮物,4.8,15,218,$14.00
98,【娃娃市集】卡娜赫拉後背包(北極絨) p助後背包 卡娜赫拉背包娃娃 卡娜赫拉造型背包 卡娜赫拉系列肩背包,5,71,194,$110 - $350
99,Adidas 愛迪達 CAP 老帽 腰包 肩包 帽子 後背包 胸包 S98151 S95150 全新正品 統一發票 A1,4.9,"2,815","6,617","$439 - $1,080"
100,【限時-特賣】愛迪達後背包 adidas後背包 愛迪達背包 書包 雙肩包 大容量 旅行背包 adidas 背包,4.8,54,146,$215.00
101,【MDMS】獨家特別訂製款🔥韓國最流行🔥迷你 荔枝紋 雙肩包 純色 背包 小包包 (U01),4.9,"2,832","5,017",$299.00
102,天德R5 天德牌R5 側開加寬 背包版 專利多功能 兩件式 雨衣 隱藏式鞋套背包款,4.9,90,149,$930.00
103,早苗帆布 畢業季福袋,4.9,132,193,"$1,299.00"
104,蝦皮優選【瑪雅拼布材料】問號勾、旋轉勾、背包鉤：1.6cm、2cm 鋅合金--B款背包鉤--古銅色、銀色,5,61,867,$8 - $9
105,蝦皮優選[台灣現貨]【超可愛肩背包】韓系 日系 背包 書包 手提包  側背包 肩背包 多功能包,4.9,180,393,$79 - $129
106,背包 書包防水套 一個25元,4.8,280,880,$25.00
107,蝦皮優選【👍最快⚡️今寄明到+9色❤️40-60L】背包套防雨罩 💯背包防雨保護套防水套防水罩背包罩防水袋雨衣書包,4.9,92,279,$48 - $68
108,天德牌 R5 多功能 黃 兩件式 護足型 風雨衣 (上衣輕薄 側開背包版) （兩件式）,5,58,102,$180 - $900
109,🔥獨家訂製🔥 你的包包櫃現在缺這一咖包還不快點買起來  大容量三層設計單肩包😏 可放長夾,4.9,316,604,$250.00
110,【未來實驗室】FREEZONE 零負重包 後背包推薦 電腦包 筆電包 防水包,4.9,821,"1,333","$1,299 - $2,449"
111,【KT BIKER】背包 雨衣 (9種顏色) 15-80L 雨罩 背包 防水罩 後背包 防水雨罩〔BGR001〕,4.9,709,"1,721",$35 - $95
112,【未來實驗室】FREEZONE PLUS 零負重變型包 防水包 雙肩包 後背包 電腦包 超大容量,4.9,814,"1,249","$1,699 - $3,199"
113,24H快速出貨 Adidas 後背包 Adidas雙肩包 愛迪達後背包 Adidas後背包 雙肩包 背包 書包,4.8,257,551,$260 - $320
114,【NIUI SHOP】背包胸扣 書包胸扣 書包胸帶 兒童書包胸扣 胸扣 成人背包胸扣 登山背包胸扣帶 胸帶 書包胸扣帶,5,779,"2,916",$45 - $85
115,蝦皮優選【瑪雅拼布材料】問號勾、旋轉勾、背包鉤：3.2cm 鋅合金--A款背包鉤--古銅色、銀色,5,69,910,$11.00
116,蝦皮優選【SL】全家免運 可超取 升級加高版 三用拉桿包 寵物推車拉杆包 拉杆箱 貓狗外出包 雙肩背包 手提包 狗狗包貓包,4.9,"1,587","2,635",$499 - $829
117,蝦皮優選[台灣現貨]【韓版帆布包】韓系 日系 背包 書包 手提包 斜背包 側背包 肩背包 運動背包 多功能包,4.9,358,691,$99 - $139
118,蝦皮優選[台灣現貨] 日系簡約 休閒 帆布後背包/雙肩包/學生包/書包-共2色,4.8,64,145,$299.00
119,天德牌雨衣 R2 終極完美版 tender 兩件式 隱藏鞋套 背包版,5,143,266,$790 - $990
120,背包防水雨罩 適用登山/攝影/旅遊/露營 防水 防沙塵 防髒汙 輕便 背包雨衣 後背包防雨套 防水套 防雨罩 ARZ,5,28,96,$69 - $99
121,🔥全店满299免运🔥卡通3D立体蜘蛛 超人兒童書包可爱雙肩背包小孩出遊包包毛绒玩具書包1-2岁後背包,4.9,284,"3,070",$59 - $62
122,台灣現貨秒出 鬼滅之刃 吊飾 雙面壓克力鑰匙圈 背包吊飾 鑰匙圈 18款精美款式可以選擇 炭治郎 禰豆子 善逸,5,27,168,$21.00
123,蝦皮優選【台灣現貨☆全家免運☆】日系  尼龍 筆電 後背包 韓版 雙肩包 背包 學生包 電腦包 大容量 書包 防水 現貨 包郵,4.9,"1,209","2,074",$299 - $399
124,蝦皮優選5號 快拆鋁合金登山扣 D字型登山扣/D型扣/D型登山扣/快掛扣/外掛扣/背包掛扣/登山包扣/鑰匙扣 登山勾旅行旅遊用,5,274,"3,838",$4.00
125,批發直售400款 鬼滅之刃徽章 胸章掛件胸針別針包包掛件配飾 鬼滅吊飾 炭治郎 禰豆子 善逸 義勇 後背包掛件 動漫,5,31,678,$7 - $16
126,🎈漫時光👣鬼滅之刃束口袋 學生便攜書包袋戶外購物袋 旅行整理收納袋 化妝包 便攜抽繩後背包 衣服分裝袋 零錢袋 批發,4.9,36,224,$69.00
127,【KT USA】DICKIES後背包 網狀 多層 大容量 小LOGO 休閒 書包,5,324,672,$790 - $990
128,現貨 旅遊選物 一次性毛巾70*30cm 一次性浴巾70*140cm 旅行青年旅館 背包客棧 飯店吸水洗臉巾 拋棄式毛巾,4.9,16,250,$25 - $28
129,蝦皮優選📣台灣現貨📣 媽媽包 媽咪包 [I-a2] 多功能媽媽包 媽媽背包 多功能媽咪包 後背包 雙肩背包 - 甯甯婦嬰館,4.9,480,785,$379.00
130,蝦皮優選免運【24H出貨/公司貨附發票】飄帶皮革休閒小背包/荔枝紋皮立體質感毛球後背包,4.9,586,963,$319.00
131,蝦皮優選現貨🔥獨家! 加大版乾燥玫瑰尼龍迷你後背包 mini bag 迷你小後背 防潑水 尼龍後背包｜Yen's Shop,5,794,"1,225",$699.00
132,限時下殺 現貨秒發 42款鬼滅之刃雙面透明挂件亞克力鑰匙扣 背包掛件 竈門炭治郎 竈門禰豆子 我妻善逸 伊之助 義勇,4.9,693,"6,980",$15.00
133,C328 四色摺疊收納後背包 雙肩包女男 超輕運動旅行登山輕薄款 防水便攜背包 雙肩背包 雙肩 百搭 大容量登山包小型布,4.9,63,879,$48.00
134,『現貨當天發出』Adidas  小背包  愛迪達 小雙肩包 三葉草 小后背包,4.9,156,438,$159.00
135,拼色背帶款韓版新款拼接帆布單肩包ins休閒百搭斜挎字母帆布包 肩帶可調整學院風,4.9,52,90,$149.00
136,【Fjallraven Kanken】【S/M/L】北極狐背包防水韓版女裝男士休閒學生背包,4.9,475,"1,122",$248 - $276
