,item,rate,num_product,num_sold,price
91,【§ 衫衫飾飾 §】10053【2色M-5XL】浮世繪鯉魚半袖大碼T恤潮男個性短袖T恤鯉魚印花T恤8S,4100,2805,595,$590.00
92,【瑞仁行】國綿U領短袖內衣1186 (70元) | 186 | V領內衣 | 國綿內衣 | 男內衣 | 國棉內衣,2037,56,594,$70.00
93,短袖修身型男百搭款  Polo衫,2578,53,584,$195.00
94,【T3】條紋百搭短袖T 大尺碼 黑白條紋 潮T 男女 情侶 潮T 休閒 日系 百搭 棉T 圓領 學生 修身【MT03】,8774,1033,567,$199.00
95,【§ 衫衫飾飾 §】10053【全背刺青美女S-6XL號】8款美女系列日系精緻印花男裝短袖冰絲滑料個性T恤,4083,2796,554,$588.00
96,◎BANG◎(線條腰身款)運動束衣 籃球緊身衣 短袖緊身衣(籃球 慢跑 自行車 男生 女生 Nike PRO【A02】,19924,1115,547,$249.00
97,☆衣林魔力屋☆(T117)口袋下標區．夏日男女經典素面短袖POLO衫/情侶/22色,8607,445,546,$200.00
98,💥雷納德Kawhi Leonard短袖棉T恤上衣💥NBA快艇隊Adidas愛迪達運動籃球衣服T-shirt男女962,209,836,542,$395.00
99,【限時特賣！一組三件！】高磅重磅素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領V領T恤韓板K25-107,7245,166,533,$399.00
100,天絲棉涼感背心內衣 男上衣 短袖 運動衣 襯衫內衣 涼感衣 排汗衫 #980,1822,67,528,$99.00
101,自行車車衣 領騎 LA 男車衣 車衣 男車衣 單車車衣 短袖車衣 排汗車衣 短車衣【B0125】,230022,1314,527,$450.00
102,【§ 衫衫飾飾 §】10093【7款L-2XL】忠義日式和服男風衣T恤短袖披風漢服七分袖薄外套防曬日系爆走道袍2,4097,2805,524,$690.00
103,【§ 衫衫飾飾 §】10053【圖片色S~2XL】成本衝量夏季情侶款短袖迷彩T恤衫男生寬鬆軍訓軍歌比賽軍裝男女薄款上衣,4102,2806,516,$115.00
104,【§ 衫衫飾飾 §】10053【圖片色S~2XL】成本衝量夏季情侶款短袖迷彩T恤衫女生寬鬆軍訓軍歌比賽軍裝男女薄款上衣,4085,2795,512,$115.00
105,【§ 衫衫飾飾 §】10053【2色M-7XL號】夏季男士襯衫印花短袖休閒襯衣大碼夏威夷花襯衫8S,4096,2805,502,$599.00
106,【§ 衫衫飾飾 §】10053【7色M-5XL號】夏季新款男士短袖襯衫休閒商務襯衫免燙襯衫8S,3981,2826,501,$699.00
107,【§ 衫衫飾飾 §】10053【赤般若M-5XL號】日系般若浮世繪原宿風純棉寬鬆大碼夏季新款男士短袖T恤8S,4096,2805,499,$599.00
108,【§ 衫衫飾飾 §】10093【龍化陰陽L-2XL】中國風漢服道袍和服羽織薄外套開衫五分短袖日系潮男女防曬衣大碼外套,4096,2805,498,$790.00
109,Ω衣枝獨袖Ω【122】新款日系嘻哈風潮牌男個性拉鍊口袋字母印花短袖T恤,8618,3291,492,$486.00
110,ManStyle潮流嚴選【K1X0217】夏日必BUY韓系帥哥印花LOGO圖騰上衣短袖T恤男 任選4件秒殺699元,6794,3113,489,$699.00
111,【最強折扣！最後倒數！】素色POLO衫 男短袖 襯衫 素T上班運動T翻領摺領制服白灰男女商物衫辦公免燙K26-146,7245,166,488,$199.00
112,【ZITA嚴選】EXO01 EXO 鹿?吳亦凡世勳 燦烈 伯賢 二巡演唱會 同款打歌服應援隊男女款短袖T恤 官方 應援,6087,309,484,$190.00
113,秒殺價 愛迪達短T ADIDAS 三葉草 愛迪達 衣服 短T 短袖T恤 男款 女款 情侶裝,697,224,478,$199.00
114,《韓立領限時特賣!!》大尺碼POLO衫純棉男短袖刺繡立領襯衫素面運動短袖精梳棉制服排汗速乾免燙盾牌刺繡【26-1049】,16270,185,470,$199.00
115,3件免運】現貨 萊卡面料 PRO 運動緊身衣 S~3L 短袖 內搭衣 束衣 男 速乾 跑步 健身 藍球 自行車 訓練衣,4919,593,458,$186.00
